Time [s],46X [g],46 Y [g],46 Z [g],56X [g],56Y [g],56Z [g],57X [g],57Y [g],57Z [g],48X [g],48Y [g],48Z [g]
0,-0.046154428,0.002841477,-0.009423326,-0.068073854,0.003832551,0.033143163,-0.053870067,0.012038699,-0.026498193,-0.006485338,-0.086736493,0.016308108
5.00E-05,-0.094156541,0.003698143,-0.009568114,-0.068073854,0.020430865,0.033143163,-0.053870067,0.012038699,-0.010028691,-0.006485338,-0.086736493,0.016308108
0.0001,-0.12615795,0.003945489,-0.008940697,-0.068073854,0.020430865,0.033143163,-0.069921933,-0.006053725,0.00644081,-0.006485338,-0.086736493,0.016308108
0.00015,-0.12615795,0.00369211,-0.007939242,-0.068073854,0.020430865,0.033143163,-0.085973799,-0.006053725,0.00644081,-0.006485338,-0.086736493,0.016308108
0.0002,-0.094156541,0.004005818,-0.007812552,-0.068073854,0.003832551,0.033143163,-0.085973799,-0.006053725,0.00644081,-0.006485338,-0.071112521,0.016308108
0.00025,-0.046154428,0.004717696,-0.008572692,-0.068073854,0.003832551,0.049691785,-0.085973799,-0.006053725,0.00644081,-0.006485338,-0.071112521,0.016308108
0.0003,-0.062155131,0.004771991,-0.008976894,-0.068073854,0.003832551,0.033143163,-0.069921933,-0.006053725,0.00644081,-0.006485338,-0.071112521,0.016308108
0.00035,-0.094156541,0.004023917,-0.008325345,-0.068073854,0.003832551,0.033143163,-0.069921933,0.012038699,0.00644081,-0.006485338,-0.071112521,0.000292682
0.0004,-0.094156541,0.003203448,-0.007191168,-0.068073854,0.003832551,0.033143163,-0.053870067,0.012038699,-0.010028691,-0.006485338,-0.071112521,0.000292682
0.00045,-0.078155838,0.003149152,-0.006708539,-0.068073854,0.003832551,0.016594542,-0.053870067,0.030131124,-0.010028691,-0.006485338,-0.071112521,0.016308108
0.0005,-0.046154428,0.004078213,-0.007341989,-0.068073854,0.003832551,0.033143163,-0.053870067,0.030131124,-0.010028691,-0.006485338,-0.071112521,0.016308108
0.00055,-0.046154428,0.004808188,-0.008114195,-0.068073854,0.003832551,0.033143163,-0.053870067,0.030131124,-0.010028691,-0.006485338,-0.071112521,0.016308108
0.0006,-0.094156541,0.004180771,-0.007951308,-0.068073854,0.003832551,0.033143163,-0.053870067,0.012038699,-0.010028691,-0.006485338,-0.071112521,0.016308108
0.00065,-0.12615795,0.003155185,-0.007643632,-0.068073854,0.003832551,0.033143163,-0.069921933,-0.006053725,0.00644081,-0.006485338,-0.071112521,0.016308108
0.0007,-0.094156541,0.002793214,-0.008059899,-0.068073854,0.003832551,0.033143163,-0.069921933,-0.006053725,0.00644081,-0.006485338,-0.071112521,0.000292682
0.00075,-0.062155131,0.002889739,-0.008439969,-0.068073854,0.003832551,0.033143163,-0.069921933,-0.006053725,0.00644081,-0.006485338,-0.071112521,0.000292682
0.0008,-0.030153725,0.004126475,-0.008735579,-0.068073854,0.003832551,0.033143163,-0.069921933,0.012038699,0.00644081,-0.006485338,-0.071112521,0.000292682
0.00085,-0.062155131,0.006008728,-0.009019124,-0.085081793,0.020430865,0.033143163,-0.069921933,0.012038699,-0.010028691,-0.006485338,-0.071112521,0.016308108
0.0009,-0.11015724,0.005580395,-0.00787288,-0.085081793,0.020430865,0.033143163,-0.069921933,0.012038699,-0.010028691,-0.006485338,-0.071112521,0.016308108
0.00095,-0.14215866,0.003589551,-0.006364666,-0.068073854,0.020430865,0.033143163,-0.069921933,0.012038699,-0.010028691,-0.006485338,-0.071112521,0.016308108
0.001,-0.11015724,0.00335427,-0.007287693,-0.068073854,0.003832551,0.033143163,-0.069921933,0.012038699,0.00644081,-0.006485338,-0.071112521,0.016308108
0.00105,-0.062155131,0.003553354,-0.009013091,-0.068073854,0.003832551,0.033143163,-0.069921933,-0.006053725,0.00644081,-0.006485338,-0.071112521,0.000292682
0.0011,-0.030153725,0.002298519,-0.00865112,-0.068073854,0.003832551,0.033143163,-0.069921933,-0.024146151,0.00644081,-0.006485338,-0.071112521,-0.015722744
0.00115,-0.046154428,0.002039106,-0.007535041,-0.068073854,0.003832551,0.033143163,-0.069921933,-0.006053725,0.00644081,-0.006485338,-0.071112521,0.000292682
0.0012,-0.094156541,0.004060114,-0.007486778,-0.068073854,0.003832551,0.033143163,-0.069921933,0.012038699,0.00644081,-0.006485338,-0.071112521,0.000292682
0.00125,-0.12615795,0.00580361,-0.007613468,-0.051065914,0.003832551,0.033143163,-0.069921933,0.030131124,-0.010028691,-0.006485338,-0.071112521,0.016308108
0.0013,-0.11015724,0.005658822,-0.0071972,-0.051065914,0.003832551,0.033143163,-0.069921933,0.030131124,-0.010028691,-0.006485338,-0.071112521,0.016308108
0.00135,-0.078155838,0.004627203,-0.007106707,-0.051065914,0.003832551,0.033143163,-0.053870067,0.030131124,-0.026498193,-0.006485338,-0.071112521,0.016308108
0.0014,-0.062155131,0.003661945,-0.007806519,-0.051065914,0.003832551,0.033143163,-0.053870067,0.012038699,-0.010028691,-0.006485338,-0.071112521,0.000292682
0.00145,-0.094156541,0.002841477,-0.008717481,-0.051065914,0.003832551,0.033143163,-0.053870067,0.012038699,-0.010028691,-0.006485338,-0.071112521,0.000292682
0.0015,-0.11015724,0.002606195,-0.009405226,-0.051065914,0.003832551,0.033143163,-0.069921933,0.012038699,0.00644081,-0.006485338,-0.071112521,0.000292682
0.00155,-0.094156541,0.003318072,-0.009700837,-0.051065914,0.003832551,0.033143163,-0.085973799,-0.006053725,0.00644081,-0.006485338,-0.071112521,0.000292682
0.0016,-0.062155131,0.003758471,-0.008807974,-0.068073854,0.003832551,0.033143163,-0.069921933,-0.006053725,0.00644081,-0.006485338,-0.071112521,0.000292682
0.00165,-0.078155838,0.002726852,-0.006557718,-0.051065914,0.003832551,0.033143163,-0.069921933,0.012038699,0.00644081,-0.006485338,-0.071112521,0.000292682
0.0017,-0.11015724,0.001749529,-0.0050857,-0.051065914,0.020430865,0.033143163,-0.069921933,0.012038699,0.00644081,-0.006485338,-0.071112521,0.016308108
0.00175,-0.11015724,0.002660491,-0.00626814,-0.051065914,0.020430865,0.049691785,-0.069921933,0.012038699,-0.010028691,-0.006485338,-0.071112521,0.016308108
0.0018,-0.078155838,0.004259198,-0.00869335,-0.051065914,0.020430865,0.049691785,-0.069921933,0.012038699,0.00644081,-0.006485338,-0.071112521,0.016308108
0.00185,-0.046154428,0.004651334,-0.009899922,-0.051065914,0.003832551,0.033143163,-0.069921933,0.012038699,0.00644081,-0.006485338,-0.071112521,0.000292682
0.0019,-0.062155131,0.004144574,-0.009423326,-0.051065914,0.003832551,0.033143163,-0.069921933,-0.006053725,0.00644081,-0.006485338,-0.071112521,0.000292682
0.00195,-0.078155838,0.0038188,-0.008156425,-0.068073854,0.003832551,0.033143163,-0.069921933,-0.006053725,0.00644081,-0.006485338,-0.071112521,0.000292682
0.002,-0.078155838,0.003927391,-0.007040346,-0.068073854,0.003832551,0.033143163,-0.085973799,-0.006053725,0.00644081,-0.006485338,-0.071112521,0.016308108
0.00205,-0.046154428,0.004271264,-0.006756802,-0.051065914,0.003832551,0.033143163,-0.069921933,0.012038699,-0.010028691,-0.006485338,-0.071112521,0.016308108
0.0021,-0.046154428,0.004446217,-0.007281661,-0.051065914,0.003832551,0.033143163,-0.053870067,0.030131124,-0.010028691,-0.006485338,-0.071112521,0.016308108
0.00215,-0.078155838,0.004066147,-0.007951308,-0.051065914,0.003832551,0.033143163,-0.053870067,0.030131124,-0.010028691,-0.006485338,-0.071112521,0.016308108
0.0022,-0.094156541,0.003571452,-0.008494265,-0.051065914,0.003832551,0.033143163,-0.053870067,0.030131124,-0.010028691,-0.006485338,-0.071112521,0.000292682
0.00225,-0.094156541,0.003800701,-0.009079453,-0.051065914,0.003832551,0.033143163,-0.069921933,0.012038699,-0.010028691,-0.006485338,-0.071112521,0.000292682
0.0023,-0.046154428,0.004500513,-0.009320767,-0.068073854,0.003832551,0.033143163,-0.085973799,0.012038699,0.00644081,-0.006485338,-0.071112521,0.000292682
0.00235,-0.046154428,0.004669433,-0.008488232,-0.051065914,0.003832551,0.033143163,-0.085973799,-0.006053725,0.00644081,-0.006485338,-0.071112521,0.000292682
0.0024,-0.078155838,0.004229034,-0.006877459,-0.051065914,0.003832551,0.033143163,-0.069921933,-0.006053725,0.00644081,-0.006485338,-0.071112521,0.000292682
0.00245,-0.094156541,0.00402995,-0.005948399,-0.051065914,0.003832551,0.033143163,-0.069921933,0.012038699,0.00644081,-0.006485338,-0.071112521,0.000292682
0.0025,-0.094156541,0.004609104,-0.006799032,-0.051065914,0.020430865,0.033143163,-0.069921933,0.012038699,0.00644081,-0.006485338,-0.071112521,0.000292682
0.00255,-0.062155131,0.005526098,-0.008844171,-0.051065914,0.020430865,0.049691785,-0.069921933,0.030131124,-0.010028691,-0.006485338,-0.071112521,0.000292682
0.0026,-0.062155131,0.005815676,-0.010189499,-0.051065914,0.020430865,0.049691785,-0.069921933,0.012038699,-0.010028691,-0.006485338,-0.071112521,0.016308108
0.00265,-0.094156541,0.00512793,-0.00953795,-0.051065914,0.020430865,0.033143163,-0.069921933,0.012038699,0.00644081,-0.006485338,-0.071112521,0.016308108
0.0027,-0.11015724,0.004229034,-0.007631566,-0.051065914,0.020430865,0.033143163,-0.069921933,0.012038699,0.00644081,-0.006485338,-0.071112521,0.016308108
0.00275,-0.094156541,0.003909293,-0.006063023,-0.051065914,0.003832551,0.033143163,-0.085973799,0.012038699,0.00644081,-0.006485338,-0.071112521,0.016308108
0.0028,-0.046154428,0.004108377,-0.00546577,-0.051065914,0.003832551,0.033143163,-0.085973799,0.012038699,0.00644081,-0.006485338,-0.071112521,0.016308108
0.00285,-0.030153725,0.004349691,-0.005586427,-0.051065914,0.003832551,0.033143163,-0.085973799,0.012038699,0.00644081,-0.006485338,-0.071112521,0.016308108
0.0029,-0.062155131,0.004373823,-0.006111286,-0.051065914,0.003832551,0.033143163,-0.069921933,-0.006053725,0.00644081,-0.006485338,-0.071112521,0.016308108
0.00295,-0.11015724,0.004120443,-0.006811098,-0.051065914,0.003832551,0.033143163,-0.069921933,0.012038699,-0.010028691,-0.006485338,-0.071112521,0.016308108
0.003,-0.12615795,0.003867063,-0.007619501,-0.068073854,0.003832551,0.049691785,-0.069921933,0.012038699,-0.010028691,-0.006485338,-0.071112521,0.016308108
0.00305,-0.094156541,0.004017884,-0.008452036,-0.068073854,0.003832551,0.033143163,-0.085973799,0.030131124,-0.010028691,-0.006485338,-0.071112521,0.000292682
